numero,pregunta,a,b,c,d,respuestas
1,"Hello, Jack. How are you?\n_____ Sophie! I’m great, thanks.",Hi,Bye,Goodbye,Of course,a
2,"Hey, do you know that girl?\nSure! ____ is the new student, Martha.",He,They,She,We,c
3,"Can you see those two men over there?\nYes, why?\nThey ____ my brothers, Carl and Craig.",is,am,be,are,d
4,How old is she?\nShe____ 28 years old.,has,is,are,have,b
5,"Sophie really likes this movie, I think it’s _____ favorite movie because she told me she loves it!",my,her,his,their,b
6,"Hey, where ___ Charlie ___?\nHe is from France.",are / to,am / from,is / for,is/ from,d
7,"I need to buy ___ umbrella, ___ bag, and ____ wallet.",a / an / a,an / a / a,an / an / a,a / a / an,b
8,"Hey! Laurie, can you see ______ two cars in the distance?\nNo, I can’t. I need my glasses.",these,that,this,those,d
9,There are more than ten _____ parked outside.,bus,buses,buzes,buss,b
10,"(end of beginner)\nCan you describe your house, please?\nYes, It’s really big. __________  a big living room. Also, __________ four bathrooms and  four bedrooms.",there are / there is,there is / there is,there is / there are,there are / there are,c
11,"Excuse me, ______ can you find a good mall in this city?\nThe best malls are downtown. You can take a bus right there.",why,when,where,who,c
12,"What do you usually do on Monday morning, Susana?\nOh! well… I usually ______ to work and spend the day in the office.",Goes,Went,Going,Go,d
13,"______ your sister like Pizza?\nYes, she loves it!",Do,Does,Did,Can,b
14,My mother really _______ to buy a new car.,wants,want,is wanting,wanting,a
15,I usually travel by plane but today I ___________ by bus!,are  travel,am  travel,am travelling,are travelling,c
16,"What a beautiful car!\nYes, it’s _________. Her father gave it to her on her birthday.",Lisas’ car,Lisa her car,Lisa’s car,the car of Lisa,c
17,There are a lot of ______ and _______ in this office but no one cares about the infestation of _______ they have. It’s disgusting!,mans / womans / mouses,men / Women / mouses,men / Womens / mice,men / women / mice,d
18,"I am perfect! I never _______ mistakes!\nNo one is perfect Johanna, that’s impossible.",do,make,commit,take,b
19,"This restaurant is amazing! ____ food is good and ____ service is excellent. There is ____ beautiful painting, too.",An / a / the,The / the / the,The / a / a,The / the / a,d
20,"Take a look at this picture of my new girlfriend. She ____ green eyes and blond hair. Also, she ____ very tall and thin.",have / is,is / Has,has / is,has / has,c
21,"Let’s go to the beach on Saturday!\nOh, I _____ swim sorry. But we could go to the French club.\nI _____ speak French George, you know that.",can / can,don’t know / don’t know,can’t / can’t,no / Don’t,c
22,Where are you on Monday morning?\nI usually spend my mornings ____ the office.,on,in,at,to,b
23,Whose notebook is this?\nIt’s _______.,mine,my,her,their,a
24,"What are some differences between a car and a motorcycle?\nI suppose cars are _______ and _______, too!",more fast / more expensive,faster / expensiver,more fast / expensiver,faster / more expensive,d
25,(end of elementary)\nI was thinking about our next anniversary.\nMe too! I would _________  it in Asia this year.,like celebrate,like to celebrating,like to celebrate,to like celebrate,c
